serial_no,zoning,organization_code,prefecture,kana,prefectural_capital,pc_kana
1,北海道地方,10006,北海道,ほっかいどう,札幌市,さっぽろし
2,東北地方,20001,青森県,あおもりけん,青森市,あおもりし
3,東北地方,30007,岩手県,いわてけん,盛岡市,もりおかし
4,東北地方,40002,宮城県,みやぎけん,仙台市,せんだいし
5,東北地方,50008,秋田県,あきたけん,秋田市,あきたし
6,東北地方,60003,山形県,やまがたけん,山形市,やまがたし
7,東北地方,70009,福島県,ふくしまけん,福島市,ふくしまし
8,関東地方,80004,茨城県,いばらきけん,水戸市,みとし
9,関東地方,90000,栃木県,とちぎけん,宇都宮市,とちぎし
10,関東地方,100005,群馬県,ぐんまけん,前橋市,まえばしし
11,関東地方,110001,埼玉県,さいたまけん,さいたま市,さいたまし
12,関東地方,120006,千葉県,ちばけん,千葉市,ちばし
13,関東地方,130001,東京都,とうきょうと,東京都新宿区,とうきょうとしんじゅくく
14,関東地方,140007,神奈川県,かながわけん,横浜市,よこはまし
15,中部地方,150002,新潟県,にいがたけん,新潟市,にいがたし
16,中部地方,160008,富山県,とやまけん,富山市,とやまし
17,中部地方,170003,石川県,いしかわけん,金沢市,かなざわし
18,中部地方,180009,福井県,ふくいけん,福井市,ふくいし
19,中部地方,190004,山梨県,やまなしけん,甲府市,こうふし
20,中部地方,200000,長野県,ながのけん,長野市,ながのし
21,中部地方,210005,岐阜県,ぎふけん,岐阜市,ぎふし
22,中部地方,220001,静岡県,しずおかけん,静岡市,しずおかし
23,中部地方,230006,愛知県,あいちけん,名古屋市,なごやし
24,関西地方,240001,三重県,みえけん,津市,つし
25,関西地方,250007,滋賀県,しがけん,大津市,おおつし
26,関西地方,260002,京都府,きょうとふ,京都市,きょうとし
27,関西地方,270008,大阪府,おおさかふ,大阪市,おおさかし
28,関西地方,280003,兵庫県,ひょうごけん,神戸市,ひょうごし
29,関西地方,290009,奈良県,ならけん,奈良市,ならし
30,関西地方,300004,和歌山県,わかやまけん,和歌山市,わかやまし
31,中国地方,310000,鳥取県,とっとりけん,鳥取市,とっとりし
32,中国地方,320005,島根県,しまねけん,松江市,まつえし
33,中国地方,330001,岡山県,おかやまけん,岡山市,おかやまし
34,中国地方,340006,広島県,ひろしまけん,広島市,ひろしまし
35,中国地方,350001,山口県,やまぐちけん,山口市,やまぐちし
36,四国地方,360007,徳島県,とくしまけん,徳島市,とくしまし
37,四国地方,370002,香川県,かがわけん,高松市,たかまつし
38,四国地方,380008,愛媛県,えひめけん,松山市,まつやまし
39,四国地方,390003,高知県,こうちけん,高知市,こうちし
40,九州・沖縄地方,400009,福岡県,ふくおかけん,福岡市,ふくおかし
41,九州・沖縄地方,410004,佐賀県,さがけん,佐賀市,さがし
42,九州・沖縄地方,420000,長崎県,ながさきけん,長崎市,ながさきし
43,九州・沖縄地方,430005,熊本県,くまもとけん,熊本市,くまもとし
44,九州・沖縄地方,440001,大分県,おおいたけん,大分市,おおいたし
45,九州・沖縄地方,450006,宮崎県,みやざきけん,宮崎市,みやざきし
46,九州・沖縄地方,460001,鹿児島県,かごしまけん,鹿児島市,かごしまし
47,九州・沖縄地方,470007,沖縄県,おきなわけん,那覇市,なはし
